"YEAR","Q","Y","PCHICK","PBEEF","PCOR","PF","CPI","QPRODA","POP","MEATEX"
1960,19.2,9210,52.4,33.5,46,51.53361,29.6,4333602,180.671,50
1961,20.6,9361,47.4,33,45.1,51.86824,29.9,4944130,183.691,49
1962,20.6,9666,50,34.2,44.8,52.09133,30.2,4997189,186.538,46
1963,21.1,9886,49.3,33.8,49.8,50.97588,30.6,5269019,189.242,80
1964,21.3,10456,48.2,32.8,49.9,50.75279,31,5443769,191.889,78
1965,22.9,10965,49.8,34.4,51.8,50.97588,31.5,5871560,194.303,49
1966,24.5,11417,52.7,36.2,54.5,52.48173,32.4,6437127,196.56,44
1967,25.1,11776,48.8,36.4,51.7,51.86824,33.4,6552305,198.712,45
1968,25.2,12196,51.2,37.9,45.5,49.5258,34.8,6653319,200.706,59
1969,26.3,12451,54.1,41.7,49.3,50.36239,36.7,7174882,202.677,87
1970,27.4,12823,52.4,43.5,54.5,53.151,38.8,7686589,205.052,49
1971,27.4,13218,52.9,45.5,55.7,54.54531,40.5,7723561,207.661,57
1972,28.3,13692,53.4,49.7,52.1,54.82417,41.8,8146839,209.896,76
1973,27.1,14496,77.1,59.6,89,84.66235,44.4,7961659,211.909,119
1974,27,14268,72.3,61.3,128.2,94.0321,49.3,8034339,213.854,76
1975,26.4,14393,81.4,61.9,115.2,91.13194,53.8,8019673,215.973,120
1976,28.5,14873,76.9,59.9,107.6,93.86478,56.9,9012071,218.035,184
1977,29,15256,77.3,59.5,88,95.25909,60.6,9279454,220.239,180
1978,30.4,15845,85.6,73.1,92,94.4225,65.2,9902015,222.585,204
1979,32.8,16120,87.2,93.1,104.5,105.5212,72.6,10926345,225.055,210
1980,32.7,16063,94.4,98.4,119.2,115.3371,82.4,11251965,227.726,194
1981,33.7,16265,96.5,99.2,125.9,126.6589,90.9,11868104,229.966,239
1982,33.9,16328,94.8,100.6,100,117.0103,96.5,11995693,232.188,212
1983,34,16673,96.3,99.1,128.4,124.3165,99.6,12325516,234.307,224
1984,35.3,17799,109,100.3,129.7,130.061,103.9,12920828,236.348,226
1985,36.4,18229,104.5,98.2,105.9,109.7599,107.6,13519558,238.466,209
1986,37.2,18641,115.4,98.8,83.5,104.4615,109.6,14180145,240.651,278
1987,39.4,18870,113.3,106.3,67.7,103.1788,113.6,15413103,242.804,326
1988,39.6,19522,125.1,112.1,97.1,148.3543,118.3,16006986,245.021,401
1989,40.9,19833,137.1,119.3,102.4,143.0559,124,17227111,247.342,583
1990,42.4,20058,134.9,128.8,100.9,130.9534,130.7,18429897,249.973,564
1991,44.1,19873,131.7,132.4,97,126.6589,136.2,19591105,253.336,667
1992,46.5,20220,131.9,132.3,96,125.3761,140.3,20903765,256.677,786
1993,48.2,20235,138,137.1,92.9,131.3995,144.5,22014911,260.037,780
1994,48.8,20507,140.1,136,100.1,136.4748,148.2,23666035,263.226,980
1995,48.2,20798,142.2,134.9,109,138.4826,152.4,24827130,266.364,1183
1996,48.8,21072,152.6,134.5,158.5,174.3442,156.9,26123767,269.485,1291
1997,49.5,21470,158.5,136.8,110.1,157.7798,160.5,27041394,272.756,1443
1998,49.8,22359,159.6,136.5,91.7,128.9456,163,27612361,275.955,1543
1999,52.9,22678,161.8,139.2,78.2,102.8999,166.6,29741381,279.144,1674
